Complexity,Loss,Equation
1,1.0857542,"1.7018081"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.833589,"(x0 + x1) / x0"
6,0.7952061,"sqrt(1.5630682) + (x1 / x0)"
7,0.7016341,"((x1 / 0.62139595) / x0) + 0.894973"
18,0.6585041,"sqrt((((x1 / x0) / (22.073637 / (((x1 + x1) - -1.3225142) / 0.59612554))) - -1.1187723) + 0.12051419)"
20,0.6373202,"sqrt((((x1 / x0) / (22.067963 / ((((x1 + 2.4655058) - -0.9800345) / 0.5894188) / 0.4199248))) - -0.88599867) + -0.11224982)"
