Complexity,Loss,Equation
1,1.085754,"1.7018096"
3,0.8896371,"sqrt(sqrt(x1))"
4,0.7942074,"sqrt(x1) / 2.391192"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
7,0.71709114,"(x1 / (x0 / 1.4664898)) - -0.9710039"
11,0.7166672,"(sqrt((x1 / sqrt(x0)) + 0.43753138) + 0.52147454) - 0.5645988"
12,0.7165882,"(x1 / (((x0 - sqrt(x0)) / 1.4664898) - -0.8200306)) - -0.9710039"
13,0.6583659,"((((x1 + x1) - x1) / (x0 - -3.8038945)) / 0.40725452) + 0.6098647"
