Complexity,Loss,Equation
1,1.085754,"1.7018096"
3,0.8896371,"sqrt(sqrt(x1))"
4,0.7942075,"sqrt(x1 / 5.7176566)"
7,0.6778799,"((x1 + x1) / x0) + 0.7018051"
9,0.6704767,"(((x1 + -4.1486235) + x1) / x0) + 0.8415579"
11,0.6593308,"(((x1 + -0.76707315) / 0.4148277) / (x0 - -3.1488483)) - -0.6551458"
