Complexity,Loss,Equation
1,1.085754,"1.7018131"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.8026249,"1.3006173 + (x1 / x0)"
6,0.748164,"sqrt((x1 + 3.2824268) / 6.6156383)"
7,0.7243985,"-1.0103037 / (-1.3206946 + (x1 / x0))"
9,0.65479606,"(x1 / ((x0 - -6.3930016) / 2.539462)) + 0.6351347"
19,0.64006877,"0.84711087 / ((x0 / ((x1 + (x0 - sqrt(x0 - (x1 - 0.5636405)))) - sqrt(x0))) - 0.28990722)"
