Complexity,Loss,Equation
1,1.085754,"1.7018131"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.84674287,"sqrt(sqrt(x1)) / 1.1294746"
6,0.8454673,"sqrt(x1 + 28.623669) - 5.1390486"
7,0.78630704,"((x1 + 0.35181037) / x0) / 0.35394424"
8,0.74901193,"sqrt((x1 - -2.8134727) / 6.570006) + 0.0062804334"
9,0.6660238,"((x1 / 0.46765566) / (x0 + 3.0440772)) + 0.7038689"
11,0.65917003,"(((x1 / 0.39377466) / (x0 + 3.7604196)) + 0.5506597) - -0.0095504075"
20,0.6487627,"2.2453156 / ((sqrt((x0 - x0) / (x1 + x0)) - -2.129865) + (x1 / ((x0 / -1.468106) - 0.13868345)))"
