Complexity,Loss,Equation
1,1.085754,"1.7018077"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
7,0.7118267,"((x1 / x0) - -0.63647306) / 0.6600743"
9,0.6759768,"(((x1 / x0) - -0.3871531) / 0.46640146) + -0.20033625"
11,0.6691727,"(((x1 - 3.1780922) + x1) / (x0 + 1.5232317)) + 0.8501653"
13,0.6663766,"((((x1 / 0.6543994) / 0.69836825) + -0.115511574) / (x0 + 1.915947)) + 0.7048523"
17,0.6504499,"((((x1 / x0) + 0.19199488) - (0.49340445 / (x0 - (x1 / 1.1087886)))) / 0.4131773) - -0.13265544"
