Complexity,Loss,Equation
1,1.085754,"1.7018096"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
7,0.6916511,"((x1 + x1) / x0) + 0.58445996"
9,0.677088,"((x1 + (x1 / 0.79774696)) / x0) + 0.58445996"
11,0.66853195,"0.58445996 + ((x1 + (x1 / 0.79774696)) / (x0 - -1.4706575))"
15,0.66194874,"(((x1 - (x1 / x0)) + (x1 / 0.8194619)) / (x0 + 3.0960686)) + 0.70395803"
