Complexity,Loss,Equation
1,1.085754,"1.7018131"
3,0.8896371,"sqrt(sqrt(x1))"
4,0.7942074,"sqrt(x1) / 2.3911963"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
7,0.70966953,"(0.48012352 + (x1 / x0)) / 0.5237965"
9,0.68376774,"((0.48012352 + (x1 / x0)) / 0.5237965) - 0.2221885"
14,0.6688907,"(((sqrt(x1) + (x1 / -0.56498253)) / (x0 / -1.4809134)) + 0.31310937) - -0.30453953"
15,0.6589026,"((((x1 / -0.8470115) + 0.50775635) / ((x0 / -1.9629619) + -2.1677818)) - -0.4871603) + 0.22453624"
17,0.65399903,"(((((x1 / -0.90229875) + 0.35960853) / ((x0 / -2.2902815) + -3.3956938)) - -0.44957408) / 0.9208196) + 0.12694986"
