Complexity,Loss,Equation
1,1.085754,"1.7018077"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
7,0.7148338,"sqrt((x1 + 1.9190865) / sqrt(x0))"
9,0.6786121,"(-0.20035602 + ((x1 / x0) / 0.4445198)) - -0.7362931"
13,0.67597634,"(((x1 / ((x0 + x1) - x1)) / 0.46595567) + -0.1732156) - -0.8018714"
14,0.6725929,"((x1 / (x0 + sqrt((x0 / x0) / 0.089009784))) / 0.3584187) + 0.3891158"
16,0.6682068,"(((x1 - -0.06292319) / (x0 + sqrt((x0 / x0) / 0.49786252))) / 0.46060017) + 0.64704627"
17,0.6518167,"(((x1 - -0.47987983) / (x0 + (((x0 / x0) / 0.10554053) + 0.9363748))) / 0.3506165) + 0.59281814"
