Complexity,Loss,Equation
1,1.2039331,"1.3580382"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.84714603,"sqrt(sqrt(x1 / 1.6601331))"
6,0.7481265,"sqrt((x1 + 3.409506) / 6.6163683)"
7,0.7194581,"sqrt((1.0478461 + x1) / sqrt(x0))"
9,0.678552,"((x1 / (x0 + 1.0297055)) / 0.49544135) + 0.65187466"
10,0.6765171,"(((x1 / x0) / 0.45509222) - -1.0627723) - sqrt(0.19542307)"
11,0.6636604,"(((x1 + -0.634466) / (x0 + 2.3203347)) / 0.41049683) + 0.57891107"
17,0.65867925,"(((x1 / (x0 / 2.3690183)) - -0.7103652) - (((x1 / x0) / 0.13501205) / x0)) - 0.110436365"
