Complexity,Loss,Equation
1,2.438188,"1.8763232"
4,1.7041639,"exp(x1 / x0)"
5,1.1954398,"exp(tan(x1 / x0))"
7,1.1656731,"exp(tan((x1 + -1.295243) / x0))"
8,1.1656691,"exp(abs(tan((x1 + -1.295243) / x0)))"
10,1.1594304,"exp(tan(abs(((x1 - 1.1035016) + -1.295243) / x0)))"
12,1.0642515,"(tan(((x1 * 1.7066157) / x0) + -0.17947596) + 1.3833416) ^ 0.6268516"
15,1.0111295,"(exp(tan(abs(((x1 - 1.9546983) + -2.310522) / abs(x0)))) + -0.348237) ^ 1.2532775"
18,0.9035574,"abs((exp(tan(abs(((x1 - 1.3631195) + -1.0767117) / abs(x0)))) + 1.2360611) ^ 2.3271654) / 9.049059"
