Complexity,Loss,Equation
1,14.578867,"0.6149083"
3,0.81736875,"x0 - 3.8108757"
5,0.4860608,"-4.612307 - (x0 * -1.1810822)"
7,0.48319745,"((x4 - x0) * -1.1793302) - 3.4271154"
