Complexity,Loss,Equation
1,1.085754,"1.7018131"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
8,0.7478757,"sqrt((x1 + 3.3261142) / 6.564811) - 0.019669846"
9,0.67895436,"(((x1 + x0) / x0) / 0.50902194) - 1.2387025"
11,0.64385295,"(1.3735496 / (-0.3677796 + (x0 / (-0.8908673 + x1)))) - -0.8908673"
13,0.6383816,"((1.1609081 / ((x0 / (x1 - 0.8107843)) + -0.4650844)) - -1.2274917) + -0.38444513"
17,0.6304645,"((x1 - 2.85367) / ((x0 + 0.816844) / (((x1 - 1.9059778) / x0) + 1.3763955))) + 0.9017778"
