Complexity,Loss,Equation
1,1.085754,"1.7018096"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.794254,"(x1 / x0) + 1.1644998"
7,0.76679754,"(x1 + (x0 + x1)) / x0"
9,0.6759762,"(((x1 / x0) - 0.17342415) / 0.46603334) + 1.0010505"
13,0.6723928,"((((x1 + x0) + (x1 - 1.2805026)) / x0) - 0.3174251) / 0.96176577"
17,0.67058283,"(((x0 + -1.0272872) + ((x1 - 0.12103848) + (x1 + -0.61544734))) / (x0 + 2.5895925)) - 0.0761435"
18,0.6691043,"(((x0 + -0.28405255) + (((x1 - sqrt(x0)) + x1) + 0.12051577)) / (x0 + 1.2791805)) - 0.042131167"
