r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.472679759758074,1,0,cos(x1 + x2**2),"cos,add,x1,div,mul,x1,mul,x2,x2,x1",1.2445572247983467,1.2445572247983467,False
0.4726469603484563,1,0,cos(2*x1/log(x1 + x2*(x1*x2**2 + x1))),"cos,div,add,x1,x1,log,add,mul,add,mul,add,sub,mul,x2,x1,x2,x2,x2,x1,x2,x1",1.244884812928845,1.244884812928845,False
0.4725900706759139,1,0,sin(x2),"sin,add,x2,mul,sub,x1,x1,sub,x1,x1",1.2454532156093239,1.2454532156093239,False
0.4723845207981232,1,0,-sin(x1 - exp(x1*exp(-exp(x2**2/(x1 + x2))))),"sin,sub,exp,mul,x1,exp,sub,sub,x2,exp,mul,div,x2,add,x2,x1,x2,x2,x1",1.2475091525712625,1.2475091525712625,False
0.4723357346965541,1,0,sin(x2*log(log(2*x2 + exp(-x2 + (x1 + 2*x2)/x1)))),"sin,mul,x2,log,log,add,add,exp,sub,div,add,add,x1,mul,x1,div,x2,x1,x2,x1,x2,x2,x2",1.2479976294669708,1.2479976294669708,False
0.4722948070941943,1,0,cos(x1*(-x2*exp(-x1 + x2) - x2 + exp(x2))),"cos,mul,sub,sub,exp,x2,mul,exp,sub,x2,x1,x2,x2,x1",1.2484075737792828,1.2484075737792828,False
0.4721426271588055,1,0,cos(x1 - x2*(x1*exp(x2) + x1) + 3*x2),"cos,add,x2,add,sub,add,x1,x2,mul,sub,add,mul,exp,x2,x1,add,x1,x2,x2,x2,x2",1.249933072392009,1.249933072392009,False
0.4721411275160257,1,0,cos(2*x1 + 2*x2 + exp(x1)*exp(x2)),"cos,add,x2,add,x1,add,x1,add,mul,exp,x1,exp,x2,x2",1.249948114803257,1.249948114803257,False
0.4721359539477842,1,0,-sin(2*x1 + 2*x2),"sin,mul,add,x2,x1,div,add,x1,x1,sub,mul,log,x1,sub,x1,x1,x1",1.250000010550718,1.250000010550718,False
0.471947021997382,1,0,sin(x1**2*(x1 + exp(x2))*exp(x2)/(-x2 + log(x1))),"sin,mul,x1,mul,mul,add,x1,exp,x2,div,exp,x2,sub,log,x1,x2,x1",1.251896693491661,1.251896693491661,False
0.4718991421014556,1,0,(sin(x1) + cos(x2*exp(exp(exp(-x1 + x2)))))/x1,"div,add,sin,x1,cos,mul,x2,exp,exp,exp,sub,x2,x1,x1",1.2523778282397442,1.2523778282397442,False
0.4718910052716159,1,0,cos(exp(3*x1))/x1,"div,cos,exp,add,x1,add,x1,x1,x1",1.2524596123847316,1.2524596123847316,False
0.4718876298564779,1,0,sin(exp(x1 + x2 - x2*exp(-x2))),"sin,exp,sub,add,x1,x2,div,x2,exp,x2",1.2524935406537943,1.2524935406537943,False
0.4718841067739228,1,0,sin(exp(-x1)),"sin,div,exp,sub,div,mul,x2,x1,x1,x2,exp,x1",1.2525289542221605,1.2525289542221605,False
0.4718840932436764,1,0,0,"div,0.0,div,add,x2,cos,x2,add,cos,x2,div,exp,add,x1,sub,x1,div,x2,x1,x1",1.252529090228425,1.252529090228425,False
0.47188373891562335,1,0,sin(x1*x2/(x1 + log(x1 + exp(-2*x1 + x2))) - log(x1)),"sin,sub,div,x2,div,add,log,add,x1,exp,sub,x2,add,x1,x1,x1,x1,log,x1",1.252532651945376,1.252532651945376,False
0.47188366125778625,1,0,sin(x1 + x2)*sin(exp(x2))/x1,"div,mul,sin,exp,x2,sin,add,x2,x1,x1",1.2525334325658355,1.2525334325658355,False
0.47178636984437916,1,0,cos(x1 + x2 - exp(x1)),"cos,add,sub,x2,exp,x1,mul,x1,div,x1,x1",1.2535118036873523,1.2535118036873523,False
0.4714745846387934,1,0,cos(x1 - exp(x1 - x2)),"cos,sub,x1,exp,sub,x1,x2",1.256652441172278,1.256652441172278,False
0.47098511186952263,1,0,cos((x1*log(x1) - x2)*exp(x2)),"cos,mul,exp,x2,sub,mul,x1,log,x1,x2",1.2615992762073982,1.2615992762073982,False
0.47069577051346456,1,0,cos(x1*(x1/(-x1 + exp(x1*exp(-x2))) - x2)*exp(x1)),"cos,mul,exp,x1,mul,sub,div,x1,sub,exp,div,x1,exp,x2,x1,x2,x1",1.2645329106674872,1.2645329106674872,False
0.4700907961539329,1,0,x2*exp(-2.0*x1 - x2) - cos(2*x1 + x2),"sub,div,x2,exp,add,x1,add,mul,x1,1.0,x2,cos,add,add,x2,x1,x1",1.27068946379401,1.27068946379401,False
0.47006749686105115,1,0,sin(x2 - exp(exp(-x1 + exp(exp(x1 - x2)/(-x1 + exp(x1)))))),"sin,sub,x2,exp,exp,sub,exp,exp,sub,x1,add,log,sub,exp,x1,x1,x2,x1",1.270927186568645,1.270927186568645,False
0.4700147410927825,1,0,cos(exp(x1 + x2/(x2 + log(x1)))),"cos,exp,add,x1,div,x2,add,log,x1,x2",1.2714656231666068,1.2714656231666068,False
0.46993105693643256,1,0,-sin(x1*exp(x2) - x2),"sin,sub,x2,exp,add,x2,log,x1",1.272320203469941,1.272320203469941,False
0.46963422815040706,1,0,sin(x1) - sin(exp(x1 - x2*log(x1))),"sub,sin,x1,sin,exp,sub,x1,mul,log,x1,x2",1.2753561853702633,1.2753561853702633,False
0.4689559117208358,1,0,cos(x2 - log(x1/(-2*x2 + exp(x2) + 1))),"cos,sub,x2,sub,add,log,div,x1,sub,add,exp,x2,sub,div,x1,x1,x2,x2,x2,x2",1.2823220997594205,1.2823220997594205,False
0.46795367606161337,1,0,cos((-exp(x2) + log(x1))*exp(x2)),"cos,mul,exp,x2,sub,log,x1,exp,x2",1.2926863626684038,1.2926863626684038,False
0.4662616121793738,1,0,sin(exp(x1) + exp((x1 + x2)*exp(-2*x1)/(2*x1))),"sin,add,exp,x1,exp,exp,sub,sub,log,add,x1,x2,add,log,add,x1,x1,x1,x1",1.3103809083496807,1.3103809083496807,False
0.46526639020415206,1,0,cos(x1 - exp(exp(E))),"cos,sub,x1,exp,exp,exp,div,x1,x1",1.3209050520250338,1.3209050520250338,False
0.4639242216220652,1,0,sin(log(x1 + x2/(x1*(-x2 + exp(x2))))),"sin,log,add,x1,div,x2,mul,sub,add,sub,exp,div,mul,x1,x2,x1,x1,x1,x2,x1",1.3352367413289332,1.3352367413289332,False
0.43932285712791874,1,0,sin(x2)/(x1*log(log(6.34439e-5*x1**2 - 3.46286e-5*x1*x2 - 0.00288839*x1 - 1.99892e-6*x2**2 + 0.00108985*x2 + 2.75444))),"div,div,sin,x2,x1,log,log,2.75444+0.00108985*x2-0.00288839*x1-1.99892e-06*x2**2-3.46286e-05*x1*x2+6.34439e-05*x1**2",1.6287637851618957,1.6287637851618957,False
0.41839816069425867,1,0,-x2 + 0.222363911101503*(x1 + x2*sin(2*x1))*exp(-5.40886e-6*x1**3 + 1.69706e-5*x1**2*x2 + 0.000564985*x1**2 - 1.95512e-5*x1*x2**2 - 0.00226708*x1*x2 + 0.00867096*x1 - 3.88452e-6*x2**3 + 0.00271503*x2**2 + 0.0505500000000001*x2 - cos(x1)),"sub,mul,exp,sub,sub,-1.50344+1.05055*x2+0.00867096*x1+0.00271503*x2**2-0.00226708*x1*x2+0.000564985*x1**2-3.88452e-06*x2**3-1.95512e-05*x1*x2**2+1.69706e-05*x1**2*x2-5.40886e-06*x1**3,cos,x1,x2,add,x1,mul,x2,sin,add,x1,x1,x2",1.9322886782730058,1.9322886782730058,False
0.3987719238036664,1,0,x1*(exp(sin(x1)) + cos(exp(x1)))/(-0.000532926*x1**3 - 0.000659813*x1**2*x2 + 0.088602*x1**2 + 0.0812938*x1*x2 - 4.0457*x1 - 0.968315*x2 + 51.9668),"mul,div,x1,sub,51.9668-0.968315*x2-3.0457*x1+0.0812938*x1*x2+0.088602*x1**2-0.000659813*x1**2*x2-0.000532926*x1**3,x1,add,exp,sin,x1,cos,exp,x1",2.273156618276763,2.273156618276763,False
0.39478612280152114,1,0,x2/(-2.80581e-5*x1**3 + 0.000243936*x1**2*x2 + 0.00403765*x1**2 - 0.000233645*x1*x2**2 - 0.0350671*x1*x2 - 0.13468*x1 + 0.033349*x2**2 + 1.07892*x2 + cos(x1) + 0.25584),"div,x2,add,x2,add,x2,add,x1,add,add,add,sub,cos,x1,-0.25584+1.92108*x2+4.13468*x1-0.033349*x2**2+0.0350671*x1*x2-0.00403765*x1**2+0.000233645*x1*x2**2-0.000243936*x1**2*x2+2.80581e-05*x1**3,add,x2,x1,x1,x1",2.350141429677174,2.350141429677174,False
0.38972748516378464,1,0,exp(exp(cos(exp((-x1 + x2 - exp(x2))*log(x1)/x1)))),"exp,exp,cos,exp,mul,sub,sub,x2,x1,exp,x2,div,log,x1,x1",2.4520287136410466,2.4520287136410466,False
0.3105540940567197,1,0,x2*sin(exp((-x2 + x2/(x1*x2 + x1 + exp(x2)))/x1)),"mul,sin,exp,div,sub,div,x2,add,x1,sub,add,exp,x2,add,mul,x1,x2,x1,x1,x2,x1,x2",4.928626140620371,4.928626140620371,False
0.23255612483386137,1,0,(-x1 + x2)*cos(exp(x2)),"mul,cos,exp,x2,mul,add,mul,1.0,mul,log,x1,sub,x1,x1,div,sub,x2,x1,x1,x1",10.890245865542258,10.890245865542258,False
