Complexity,Loss,Equation
1,1.085754,"1.7018096"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.7528869,"sqrt(x1 / sqrt(x0))"
7,0.71859586,"sqrt(0.37661603 + (x1 / sqrt(x0)))"
9,0.7177562,"sqrt((x1 / sqrt(x0)) + 0.37661603) + -0.012822848"
10,0.71533054,"(((x1 / x0) / sqrt(0.19513974)) - -0.20859736) / 0.8112587"
11,0.66718906,"(((x1 / (x0 - -1.9918307)) + 0.25413206) / 0.40006068) + -0.12462373"
15,0.66210675,"(((x1 / x0) + (x1 / ((x0 + 4.925546) / 3.9971201))) / 2.2287529) + 0.69909054"
18,0.6566639,"(((x0 + 5.607126) + (x1 - sqrt(x0))) + (x1 + x1)) / ((x0 - -7.1816463) / 0.8399226)"
