Complexity,Loss,Equation
1,9.301666,"0.5288596"
3,0.5971006,"x0 / x2"
5,0.35557646,"-4.9660916 - (x0 * -1.2643542)"
7,0.2969488,"x0 * exp(x2 * -0.079541855)"
